Address,Alcohol,Ambience,Area,Best Nights,Bike Parking,Good For Dancing,Good for Groups,Happy Hour,Has Pool Table,Has TV,Music,Name,Noise Level,Outdoor Seating,Parking,Price_Level,Price_Range,Rating,Reviews,Smoking,Takes Reservations,Waiter Service,Waiter_Service,Wi-Fi,index
<br/,Full Bar,Intimate,East Village,"Tue, Wed, Thu",Yes,No,No,No,No,No,Background,Angelâ€™s Share,Average,No,Street,$$,Moderate,4.5,1694,No,No,,,No,0.0
"9 Doyers St New York, NY 10013",Full Bar,Trendy,"Chinatown, Civic Center","Tue, Wed, Thu",No,No,Yes,No,No,No,DJ,ApothÃ©ke,Loud,No,Street,$$$,Pricey,4.0,1177,No,No,,,Free,0.0
"11 E 36th St New York, NY 10016",Full Bar,Casual,Midtown East,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,The Ginger Man,Average,No,Street,$$,Moderate,4.0,1178,No,No,,,No,0.0
"510 Hudson St New York, NY 10014",Full Bar,Trendy,West Village,"Thu, Fri, Sat",No,No,Yes,No,No,No,Background,Employees Only,Loud,No,Street,$$$,31-60,4.0,1188,No,Yes,,Yes,No,0.0
"403 W 43rd St New York, NY 10036",Full Bar,Intimate,"Theater District, Hell's Kitchen, Midtown West","Thu, Fri, Sat",No,No,Yes,No,No,No,,Bea,Average,No,Street,$$,11-30,4.0,1287,No,Yes,,Yes,No,0.0
"22 7th Ave S New York, NY 10014",Full Bar,Intimate,West Village,"Tue, Thu, Fri",No,No,No,No,No,No,Live,Little Branch,Average,No,Street,$$$,Pricey,4.0,947,No,No,,,No,0.0
"30 Water St New York, NY 10004",Full Bar,,Financial District,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,Background,The Dead Rabbit,Average,No,Street,$$,11-30,4.0,999,No,No,,Yes,No,0.0
"77 W Houston St New York, NY 10012",Full Bar,Intimate,SoHo,"Thu, Fri, Sat",Yes,No,Yes,No,No,No,Background,Pegu Club,Average,No,Street,$$$,31-60,4.0,838,No,Yes,,Yes,No,0.0
"249 W 49th St New York, NY 10019",Full Bar,Classy,"Theater District, Midtown West","Thu, Fri, Sat",No,No,Yes,No,No,Yes,,Lillieâ€™s Victorian Bar & Restaurant,Average,No,Street,$$,11-30,4.0,951,No,Yes,,Yes,Free,0.0
"106-11 71st Ave Forest Hills, NY 11375",Full Bar,Casual,Forest Hills,"Fri, Sat, Sun",Yes,No,Yes,Yes,No,Yes,Background,Forest Hills Station House,Loud,No,Street,$$,11-30,4.0,758,No,No,,Yes,Free,0.0
"132 9th Ave New York, NY 10011",Full Bar,Trendy,Chelsea,"Tue, Fri, Sat",Yes,No,Yes,No,No,No,Background,Bathtub Gin,Average,No,Street,$$$,Pricey,4.0,650,No,Yes,,,No,0.0
"210 Smith St Brooklyn, NY 11201",Full Bar,Classy,"Cobble Hill, Gowanus","Wed, Fri, Sat",Yes,No,Yes,Yes,No,No,Background,Clover Club,Average,No,Street,$$,11-30,4.0,622,No,Yes,,Yes,No,0.0
"79 Baxter St New York, NY 10013",Full Bar,Casual,Chinatown,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Whiskey Tavern,Loud,No,Street,$$,Moderate,4.5,622,Outdoor Area / Patio Only,Yes,,,Free,0.0
"27-24 Jackson Ave Long Island City, NY 11101",Full Bar,Intimate,Long Island City,"Thu, Fri, Sat",Yes,No,Yes,No,No,No,Background,Dutch Kills,Average,No,Street,$$,Moderate,4.0,620,Outdoor Area / Patio Only,No,,,No,0.0
"211 W Broadway New York, NY 10013",Full Bar,Casual,TriBeCa,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,Distilled,Average,Yes,Street,$$,11-30,4.0,593,No,Yes,,Yes,Free,0.0
"357 W 44th St New York, NY 10036",Full Bar,Casual,"Theater District, Hell's Kitchen, Midtown West","Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,RÃ©union,Average,No,Street,$$,Moderate,4.0,545,No,No,,,No,0.0
"204 W 55th St New York, NY 10019",Full Bar,Casual,Midtown West,"Thu, Fri, Sat",No,No,Yes,No,No,Yes,,Tanner Smiths,Average,No,Street,$$,11-30,4.0,648,No,Yes,,Yes,Free,0.0
"37 W 26th St New York, NY 10010",Full Bar,Classy,Flatiron,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,Live,Flatiron Room,Average,No,Street,$$$,31-60,4.5,556,No,Yes,,Yes,Free,0.0
"900 Broadway New York, NY 10003",Full Bar,Trendy,Flatiron,"Thu, Fri, Sat",Yes,No,Yes,Yes,,No,Background,The Cellar,Average,No,Street,$$,11-30,4.0,535,No,No,,Yes,No,0.0
"47 E 29th St New York, NY 10016",Full Bar,Casual,"Midtown East, Flatiron","Thu, Fri, Sat",No,No,Yes,Yes,No,Yes,,Tavern29,Average,Yes,"Garage, Street",$$,11-30,4.0,602,No,Yes,,Yes,Free,0.0
"157 Bleecker St New York, NY 10012",Full Bar,Casual,Greenwich Village,"Fri, Sat, Sun",Yes,No,Yes,Yes,,Yes,,Carroll Place,Average,Yes,Street,$$,11-30,4.0,573,No,Yes,,Yes,Free,0.0
"425 W 15th St New York, NY 10011",Full Bar,Trendy,"Meatpacking District, Chelsea","Thu, Fri, Sat",Yes,No,Yes,No,No,No,Background,The Tippler,Loud,No,Street,$$,Moderate,4.0,508,No,No,,,Free,0.0
"432 E 13th St New York, NY 10009",Full Bar,Casual,"East Village, Alphabet City","Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,DJ,Keybar,Average,No,Street,$,Inexpensive,4.0,512,Outdoor Area / Patio Only,Yes,,,Free,0.0
"246 W 38th St New York, NY 10018",Full Bar,Casual,Midtown West,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,District Tap House,Average,No,Street,$$,11-30,4.0,530,No,Yes,,Yes,Free,0.0
"25 N Moore St New York, NY 10013",Full Bar,"Classy, Upscale",TriBeCa,"Thu, Fri, Sat",No,No,Yes,No,,No,Background,Brandy Library,Quiet,Yes,Street,$$$,31-60,4.0,483,Outdoor Area / Patio Only,Yes,,Yes,No,0.0
"311 E 60th St New York, NY 10022",Full Bar,Casual,Upper East Side,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,The Jeffrey Craft Beer & Bites,Average,Yes,"Garage, Street",$$,11-30,4.0,496,Outdoor Area / Patio Only,No,,Yes,Free,0.0
"55 Irving Pl New York, NY 10003",Full Bar,"Intimate, Classy","Union Square, Gramercy, Flatiron","Fri, Sat, Sun",Yes,No,Yes,No,No,No,Background,Dear Irving,Average,No,Street,$$$,Pricey,4.5,432,No,Yes,,,No,0.0
"700 E 9th St New York, NY 10009",Full Bar,Casual,"East Village, Alphabet City","Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,The Wayland,Average,No,Street,$$,Moderate,4.5,410,No,No,,,No,0.0
"344 Bowery New York, NY 10012",Full Bar,Casual,"East Village, NoHo","Thu, Fri, Sat",Yes,No,Yes,No,No,No,Background,The Wren,Average,No,Street,$$,11-30,4.0,396,No,No,,Yes,No,0.0
"222 E 14th St New York, NY 10003",Full Bar,Casual,East Village,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,The Belfry,Loud,No,Street,$$,Moderate,4.0,388,No,Yes,,,No,0.0
<br/,Full Bar,Intimate,"Theater District, Midtown West","Thu, Fri, Sat",No,No,Yes,Yes,No,No,Live,The Rum House,Average,No,Street,$$,Moderate,4.0,388,No,No,,,Free,0.0
"7 Ave A New York, NY 10009",Full Bar,Divey,"East Village, Alphabet City","Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Juke Box,The Library,Loud,No,Street,$,Inexpensive,4.0,347,No,No,,,,0.0
"135 W Broadway New York, NY 10013",Full Bar,Intimate,TriBeCa,"Tue, Fri, Sat",No,No,No,No,No,No,Background,Tinyâ€™s & the Bar Upstairs,Average,Yes,Street,$$,11-30,4.0,377,No,Yes,,Yes,Free,0.0
"134 Eldridge St New York, NY 10002",Full Bar,Intimate,Lower East Side,"Thu, Sat, Sun",Yes,No,No,No,No,No,Background,Attaboy,Average,No,Street,$$$,Pricey,4.0,346,No,No,,,,0.0
"450 Amsterdam Ave New York, NY 10024",Full Bar,Casual,Upper West Side,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Juke Box,The Dead Poet,Average,Yes,Street,$$,Moderate,4.0,335,Outdoor Area / Patio Only,No,,,Free,0.0
"307 W 47th St New York, NY 10036",Full Bar,"Casual, Trendy","Theater District, Hell's Kitchen, Midtown West","Thu, Fri, Sat",No,No,Yes,No,No,No,,Dutch Freds,Average,No,Street,$$,11-30,4.5,411,No,Yes,,Yes,Free,0.0
"47 E Houston St Ste B New York, NY 10012",Full Bar,"Divey, Casual",Nolita,"Thu, Fri, Sat",No,No,Yes,Yes,No,No,DJ,Botanica Bar,Average,No,Street,$,Inexpensive,4.0,306,No,No,,,,0.0
"23 W 45th St New York, NY 10036",Full Bar,Casual,Midtown West,"Mon, Tue, Fri",Yes,No,Yes,No,No,Yes,,Cock & Bull,Average,No,Street,$$,11-30,4.0,345,No,Yes,,Yes,Free,0.0
"422 Hudson St New York, NY 10014",Beer & Wine Only,Intimate,West Village,"Wed, Thu, Sat",Yes,No,No,Yes,,No,Background,Lelabar,Average,No,Street,$$,Moderate,4.0,307,No,No,,,,0.0
"206 Thompson St New York, NY 10012",Full Bar,Casual,Greenwich Village,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,The Malt House,Average,Yes,Street,$$,11-30,4.0,324,No,Yes,,Yes,Free,0.0
"448 S Hill St Los Angeles, CA 90013",Full Bar,Classy,Downtown,"Thu, Fri, Sat",No,No,Yes,Yes,No,No,Live,Perch,Average,Yes,"Valet, Street",$$$,31-60,4.0,4611,Outdoor Area / Patio Only,Yes,,Yes,No,0.0
"108 W 2nd St Los Angeles, CA 90012",Full Bar,Classy,Downtown,"Thu, Fri, Sat",No,Yes,Yes,Yes,No,No,DJ,The Edison,Loud,No,"Valet, Street",$$$,Pricey,4.0,2609,Outdoor Area / Patio Only,Yes,,,No,0.0
"3179 Los Feliz Blvd Los Angeles, CA 90039",Full Bar,Casual,Atwater Village,"Fri, Sat, Sun",Yes,No,Yes,Yes,No,Yes,,The Morrison,Average,Yes,Private Lot,$$,11-30,4.5,2643,Outdoor Area / Patio Only,Yes,,Yes,Free,0.0
"515 W 7th St Fl 2 Los Angeles, CA 90014",Full Bar,Hipster,Downtown,"Thu, Fri, Sat",Yes,No,Yes,Yes,Yes,Yes,,Seven Grand,Loud,Yes,"Valet, Street",$$,Moderate,4.0,1724,Outdoor Area / Patio Only,Yes,,,No,0.0
"8700 W 3rd St Los Angeles, CA 90048",Full Bar,Romantic,Beverly Grove,"Thu, Fri, Sat",No,No,Yes,Yes,,No,Background,AOC,Average,Yes,"Valet, Street",$$$,31-60,4.0,1828,No,Yes,,Yes,Free,0.0
"630 W 6th St Ste 116-A Los Angeles, CA 90017",Full Bar,,Downtown,,No,,Yes,,,No,,Library Bar,Loud,Yes,"Garage, Street, Validated",$$,11-30,4.0,1490,,Yes,,No,No,0.0
"2366 Glendale Blvd Los Angeles, CA 90039",Full Bar,Casual,Silver Lake,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Live,Red Lion Tavern,Loud,Yes,"Street, Private Lot",$$,11-30,4.0,1427,Outdoor Area / Patio Only,No,,Yes,No,0.0
"12236 W Washington Blvd Los Angeles, CA 90066",Full Bar,Hipster,Culver City,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,Alibi Room,Loud,Yes,"Street, Private Lot",$$,11-30,4.0,1352,Outdoor Area / Patio Only,No,,No,Free,0.0
<br/,Full Bar,Casual,Rancho Park,"Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,Background,Westside Tavern,Average,No,Garage,$$,11-30,4.0,1266,No,Yes,,Yes,Free,0.0
"2308 S Union Ave Los Angeles, CA 90007",Beer & Wine Only,Casual,University Park,"Mon, Fri, Sun",Yes,No,Yes,Yes,,Yes,Background,Bacaro LA,Loud,Yes,"Street, Private Lot",$$,11-30,4.0,1143,No,Yes,,Yes,Free,0.0
"707 E 4th Pl Los Angeles, CA 90013",Full Bar,"Hipster, Casual","Arts District, Downtown","Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,DJ,EightyTwo,Loud,Yes,Street,$$,Moderate,4.0,1085,Outdoor Area / Patio Only,No,,,No,0.0
"1356 Palmetto St Los Angeles, CA 90013",Full Bar,Hipster,"Arts District, Downtown","Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,Live,Villains Tavern,Loud,Yes,"Street, Private Lot",$$,11-30,4.0,1065,Outdoor Area / Patio Only,No,,No,No,0.0
"118 E 6th St Los Angeles, CA 90014",Full Bar,Intimate,Downtown,"Thu, Fri, Sat",No,No,No,No,No,No,Background,The Varnish,Average,No,Street,$$,Moderate,4.0,1022,No,No,,,No,0.0
"1612 N Cahuenga Blvd Los Angeles, CA 90028",Full Bar,Trendy,Hollywood,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,DJ,Velvet Margarita,Average,No,Street,$$,11-30,4.0,966,Outdoor Area / Patio Only,Yes,,Yes,No,0.0
"3000 Los Feliz Blvd Los Angeles, CA 90039",Full Bar,Casual,Atwater Village,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Juke Box,The Griffin,Average,Yes,"Valet, Street",$$,11-30,4.0,914,Outdoor Area / Patio Only,Yes,,No,No,0.0
"8450 W 3rd St Los Angeles, CA 90048",Full Bar,Trendy,Beverly Grove,"Fri, Sat, Sun",No,No,Yes,Yes,No,No,DJ,Toca Madera,Loud,No,"Valet, Street",$$$,31-60,4.0,1018,No,Yes,,Yes,No,0.0
"911 S Hill St Los Angeles, CA 90015",Full Bar,"Hipster, Trendy",Downtown,"Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,,The Stocking Frame,Average,Yes,"Garage, Street",$$,11-30,4.0,848,No,Yes,,Yes,No,0.0
"6317 Wilshire Blvd Los Angeles, CA 90048",Full Bar,Trendy,Beverly Grove,"Fri, Sat, Sun",No,No,Yes,No,No,No,Background,The Roof on Wilshire,Average,Yes,"Valet, Garage, Street, Private Lot, Validated",$$,11-30,3.5,949,Outdoor Area / Patio Only,Yes,,Yes,Free,0.0
"8138 W 3rd St Los Angeles, CA 90048",Full Bar,Casual,Beverly Grove,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,El Carmen,Loud,No,"Valet, Street",$$,11-30,4.0,802,No,Yes,,Yes,No,0.0
"10929 W Pico Blvd Los Angeles, CA 90064",Full Bar,Classy,West Los Angeles,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,The Wellesbourne,Loud,No,"Valet, Street",$$,Moderate,4.0,772,No,No,,,No,0.0
"4427 W Sunset Blvd Los Angeles, CA 90027",Full Bar,Divey,Los Feliz,"Thu, Fri, Sat",Yes,No,No,No,No,No,Juke Box,Tiki-Ti Cocktail Lounge,Loud,No,Street,$$,Moderate,4.5,758,Yes,No,,,No,0.0
"1455 W Sunset Blvd Los Angeles, CA 90026",Full Bar,Divey,Echo Park,"Thu, Fri, Sat",Yes,Yes,Yes,Yes,Yes,Yes,DJ,The Short Stop,Loud,No,Street,$,Inexpensive,3.5,794,Outdoor Area / Patio Only,No,,,No,0.0
"1611 N El Centro Ave Los Angeles, CA 90028",Full Bar,Hipster,Hollywood,"Fri, Sat, Sun",Yes,Yes,Yes,Yes,No,No,DJ,Good Times at Davey Wayneâ€™s,Loud,Yes,"Valet, Street",$$,Moderate,3.5,828,Outdoor Area / Patio Only,No,,,No,0.0
"239 S Vermont Ave Los Angeles, CA 90004",Full Bar,Trendy,Koreatown,"Thu, Fri, Sat",No,Yes,Yes,No,No,No,DJ,Lock & Key,Loud,Yes,"Valet, Street",$$,Moderate,3.5,718,Outdoor Area / Patio Only,Yes,,,No,0.0
