Address,Alcohol,Ambience,Area,Best Nights,Bike Parking,Good For Dancing,Good for Groups,Happy Hour,Has Pool Table,Has TV,Music,Name,Noise Level,Outdoor Seating,Parking,Price_Level,Price_Range,Rating,Reviews,Smoking,Takes Reservations,Waiter Service,Waiter_Service,Wi-Fi,index
<br/,Full Bar,Intimate,East Village,"Tue, Wed, Thu",Yes,No,No,No,No,No,Background,Angel’s Share,Average,No,Street,$$,Moderate,4.5,1694,No,No,,,No,0.0
"433 E 6th St New York, NY 10009",Full Bar,Intimate,"East Village, Alphabet City","Tue, Wed, Thu",Yes,No,No,No,No,No,Background,Death & Co,Average,No,Street,$$$,Pricey,4.0,1208,No,No,,,No,0.0
"9 Doyers St New York, NY 10013",Full Bar,Trendy,"Chinatown, Civic Center","Tue, Wed, Thu",No,No,Yes,No,No,No,DJ,Apothéke,Loud,No,Street,$$$,Pricey,4.0,1175,No,No,,,Free,0.0
"11 E 36th St New York, NY 10016",Full Bar,Casual,Midtown East,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,The Ginger Man,Average,No,Street,$$,Moderate,4.0,1178,No,No,,,No,0.0
"510 Hudson St New York, NY 10014",Full Bar,Trendy,West Village,"Thu, Fri, Sat",No,No,Yes,No,No,No,Background,Employees Only,Loud,No,Street,$$$,31-60,4.0,1188,No,Yes,,Yes,No,0.0
"403 W 43rd St New York, NY 10036",Full Bar,Intimate,"Theater District, Hell's Kitchen, Midtown West","Thu, Fri, Sat",No,No,Yes,No,No,No,,Bea,Average,No,Street,$$,11-30,4.0,1291,No,Yes,,Yes,No,0.0
"22 7th Ave S New York, NY 10014",Full Bar,Intimate,West Village,"Tue, Thu, Fri",No,No,No,No,No,No,Live,Little Branch,Average,No,Street,$$$,Pricey,4.0,946,No,No,,,No,0.0
"30 Water St New York, NY 10004",Full Bar,,Financial District,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,Background,The Dead Rabbit,Average,No,Street,$$,11-30,4.0,1003,No,No,,Yes,No,0.0
"77 W Houston St New York, NY 10012",Full Bar,Intimate,SoHo,"Thu, Fri, Sat",Yes,No,Yes,No,No,No,Background,Pegu Club,Average,No,Street,$$$,31-60,4.0,837,No,Yes,,Yes,No,0.0
"249 W 49th St New York, NY 10019",Full Bar,Classy,"Theater District, Midtown West","Thu, Fri, Sat",No,No,Yes,No,No,Yes,,Lillie’s Victorian Bar & Restaurant,Average,No,Street,$$,11-30,4.0,954,No,Yes,,Yes,Free,0.0
"106-11 71st Ave Forest Hills, NY 11375",Full Bar,Casual,Forest Hills,"Fri, Sat, Sun",Yes,No,Yes,Yes,No,Yes,Background,Forest Hills Station House,Loud,No,Street,$$,11-30,4.0,758,No,No,,Yes,Free,0.0
"132 9th Ave New York, NY 10011",Full Bar,Trendy,Chelsea,"Tue, Fri, Sat",Yes,No,Yes,No,No,No,Background,Bathtub Gin,Average,No,Street,$$$,Pricey,4.0,652,No,Yes,,,No,0.0
"210 Smith St Brooklyn, NY 11201",Full Bar,Classy,"Cobble Hill, Gowanus","Wed, Fri, Sat",Yes,No,Yes,Yes,No,No,Background,Clover Club,Average,No,Street,$$,11-30,4.0,624,No,Yes,,Yes,No,0.0
"79 Baxter St New York, NY 10013",Full Bar,Casual,Chinatown,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Whiskey Tavern,Loud,No,Street,$$,Moderate,4.5,628,Outdoor Area / Patio Only,Yes,,,Free,0.0
"27-24 Jackson Ave Long Island City, NY 11101",Full Bar,Intimate,Long Island City,"Thu, Fri, Sat",Yes,No,Yes,No,No,No,Background,Dutch Kills,Average,No,Street,$$,Moderate,4.0,623,Outdoor Area / Patio Only,No,,,No,0.0
